Reading data : 2023-11-06 13:38:00         Date  ProductID ProductName  Quantity  Price  TotalAmount
0  2023-01-01        101    Widget A         5   10.0         50.0
1  2023-02-02        102    Widget B         3   15.0         45.0
2  2023-03-03        103    Widget C         8    8.0         64.0
3  2023-04-04        101    Widget A         2   10.0         20.0
4  2023-05-05        104    Widget D         6   12.0         72.0
5  2023-06-06        102    Widget B         4   15.0         60.0
6  2023-07-07        105    Widget E         7    9.0         63.0
7  2023-08-08        103    Widget C         1    8.0          8.0
8  2023-09-09        104    Widget D         5   12.0         60.0
9  2023-10-10        101    Widget A         3   10.0         30.0 : 2023-11-06 13:38:00Months : 2023-11-06 13:38:00Reading data : 2023-11-06 13:39:46         Date  ProductID ProductName  Quantity  Price  TotalAmount
0  2023-01-01        101    Widget A         5   10.0         50.0
1  2023-02-02        102    Widget B         3   15.0         45.0
2  2023-03-03        103    Widget C         8    8.0         64.0
3  2023-04-04        101    Widget A         2   10.0         20.0
4  2023-05-05        104    Widget D         6   12.0         72.0
5  2023-06-06        102    Widget B         4   15.0         60.0
6  2023-07-07        105    Widget E         7    9.0         63.0
7  2023-08-08        103    Widget C         1    8.0          8.0
8  2023-09-09        104    Widget D         5   12.0         60.0
9  2023-10-10        101    Widget A         3   10.0         30.0 : 2023-11-06 13:39:46Months : 2023-11-06 13:39:46
