13/11/2023, 12:44:14:Reading the CSV file here
13/11/2023, 12:44:14:          Date  Temperature  Humidity
0   2023-01-01           25        60
1   2023-01-02           24        58
2   2023-01-03           26        62
3   2023-01-04           22        55
4   2023-01-05           27        65
5   2023-01-06           23        57
6   2023-01-07           28        70
7   2023-01-08           25        63
8   2023-01-09           24        59
9   2023-01-10           26        68
10  2023-01-11           22        54
11  2023-01-12           27        67
12  2023-01-13           23        56
13  2023-01-14           28        72
14  2023-01-15           25        61
15  2023-01-16           24        58
16  2023-01-17           26        64
17  2023-01-18           22        53
18  2023-01-19           27        66
19  2023-01-20           23        55
20  2023-01-21           28        69
21  2023-01-22           25        62
22  2023-01-23           24        57
23  2023-01-24           26        63
24  2023-01-25           22        52
25  2023-01-26           27        68
26  2023-01-27           23        54
27  2023-01-28           28        71
28  2023-01-29           25        60
29  2023-01-30           24        59
13/11/2023, 12:46:36:Reading the CSV file here
13/11/2023, 12:46:36:          Date  Temperature  Humidity
0   2023-01-01           25        60
1   2023-01-02           24        58
2   2023-01-03           26        62
3   2023-01-04           22        55
4   2023-01-05           27        65
5   2023-01-06           23        57
6   2023-01-07           28        70
7   2023-01-08           25        63
8   2023-01-09           24        59
9   2023-01-10           26        68
10  2023-01-11           22        54
11  2023-01-12           27        67
12  2023-01-13           23        56
13  2023-01-14           28        72
14  2023-01-15           25        61
15  2023-01-16           24        58
16  2023-01-17           26        64
17  2023-01-18           22        53
18  2023-01-19           27        66
19  2023-01-20           23        55
20  2023-01-21           28        69
21  2023-01-22           25        62
22  2023-01-23           24        57
23  2023-01-24           26        63
24  2023-01-25           22        52
25  2023-01-26           27        68
26  2023-01-27           23        54
27  2023-01-28           28        71
28  2023-01-29           25        60
29  2023-01-30           24        59
13/11/2023, 12:46:36:Displaying heads and tails
13/11/2023, 12:46:36:         Date  Temperature  Humidity
0  2023-01-01           25        60
1  2023-01-02           24        58
2  2023-01-03           26        62
3  2023-01-04           22        55
4  2023-01-05           27        65
13/11/2023, 12:46:36:          Date  Temperature  Humidity
27  2023-01-28           28        71
28  2023-01-29           25        60
29  2023-01-30           24        59
13/11/2023, 12:51:28:Reading the CSV file here
13/11/2023, 12:51:28:          Date  Temperature  Humidity
0   2023-01-01           25        60
1   2023-01-02           24        58
2   2023-01-03           26        62
3   2023-01-04           22        55
4   2023-01-05           27        65
5   2023-01-06           23        57
6   2023-01-07           28        70
7   2023-01-08           25        63
8   2023-01-09           24        59
9   2023-01-10           26        68
10  2023-01-11           22        54
11  2023-01-12           27        67
12  2023-01-13           23        56
13  2023-01-14           28        72
14  2023-01-15           25        61
15  2023-01-16           24        58
16  2023-01-17           26        64
17  2023-01-18           22        53
18  2023-01-19           27        66
19  2023-01-20           23        55
20  2023-01-21           28        69
21  2023-01-22           25        62
22  2023-01-23           24        57
23  2023-01-24           26        63
24  2023-01-25           22        52
25  2023-01-26           27        68
26  2023-01-27           23        54
27  2023-01-28           28        71
28  2023-01-29           25        60
29  2023-01-30           24        59
13/11/2023, 12:51:28:Displaying heads and tails
13/11/2023, 12:51:28:         Date  Temperature  Humidity
0  2023-01-01           25        60
1  2023-01-02           24        58
2  2023-01-03           26        62
3  2023-01-04           22        55
4  2023-01-05           27        65
13/11/2023, 12:51:28:          Date  Temperature  Humidity
27  2023-01-28           28        71
28  2023-01-29           25        60
29  2023-01-30           24        59
13/11/2023, 12:51:28:Making a new column named Comfort Zone
13/11/2023, 12:51:28:Adding values to comfort zone
13/11/2023, 12:54:17:Reading the CSV file here
13/11/2023, 12:54:17:          Date  Temperature  Humidity
0   2023-01-01           25        60
1   2023-01-02           24        58
2   2023-01-03           26        62
3   2023-01-04           22        55
4   2023-01-05           27        65
5   2023-01-06           23        57
6   2023-01-07           28        70
7   2023-01-08           25        63
8   2023-01-09           24        59
9   2023-01-10           26        68
10  2023-01-11           22        54
11  2023-01-12           27        67
12  2023-01-13           23        56
13  2023-01-14           28        72
14  2023-01-15           25        61
15  2023-01-16           24        58
16  2023-01-17           26        64
17  2023-01-18           22        53
18  2023-01-19           27        66
19  2023-01-20           23        55
20  2023-01-21           28        69
21  2023-01-22           25        62
22  2023-01-23           24        57
23  2023-01-24           26        63
24  2023-01-25           22        52
25  2023-01-26           27        68
26  2023-01-27           23        54
27  2023-01-28           28        71
28  2023-01-29           25        60
